episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,4,5,6,4,2,1
1,3,3,1,1,0,1
2,4,4,3,3,0,1
3,4,3,2,2,0,1
4,2,7,3,3,0,1
5,4,7,9,6,3,1
6,4,8,4,4,0,1
7,2,9,2,2,0,1
8,4,2,1,1,0,1
9,3,6,8,5,3,1
10,4,8,8,7,1,1
11,4,2,1,1,0,1
12,3,4,3,3,0,1
13,3,10,9,9,0,1
14,3,4,3,3,0,1
15,4,9,11,5,6,1
16,2,7,2,2,0,1
17,2,9,8,8,0,1
18,3,6,4,4,0,1
19,2,9,2,2,0,1
20,2,4,1,1,0,1
21,2,8,7,7,0,1
22,4,8,10,7,3,1
23,2,10,1,1,0,1
24,2,4,3,3,0,1
25,2,6,5,5,0,1
26,4,10,12,10,2,1
27,3,5,4,4,0,1
28,3,9,5,4,1,1
29,3,6,3,3,0,1
30,3,9,8,8,0,1
31,2,8,3,3,0,1
32,3,4,3,2,1,1
33,3,7,3,3,0,1
34,2,8,3,3,0,1
35,4,5,4,5,-1,1
36,3,6,2,2,0,1
37,2,8,1,1,0,1
38,2,2,1,1,0,1
39,2,3,1,1,0,1
40,4,8,4,3,1,1
41,2,2,1,1,0,1
42,4,6,8,3,5,1
43,4,8,9,7,2,1
44,3,2,1,1,0,1
45,3,2,1,1,0,1
46,4,10,4,4,0,1
47,4,4,3,3,0,1
48,3,5,6,4,2,1
49,3,2,1,1,0,1
50,3,9,13,4,9,1
51,4,2,1,1,0,1
52,4,8,4,4,0,1
53,3,8,10,7,3,1
54,2,4,1,1,0,1
55,2,9,2,2,0,1
56,4,10,20,10,10,1
57,2,3,1,1,0,1
58,2,5,4,4,0,1
59,4,8,4,4,0,1
