episode,state_idx,predicted_value,target_value
0,0,-0.4522256553173065,-2.0
0,1,-0.5081226229667664,-1.0
0,2,-0.5104697942733765,0.0
0,3,-0.524368166923523,1.0
0,4,-0.5219767689704895,2.0
0,5,-0.5180726051330566,3.0
1,0,-0.2699090838432312,0.0
2,0,-0.2914692163467407,0.0
2,1,-0.36354291439056396,1.0
2,2,-0.46473491191864014,2.0
3,0,-0.2608465552330017,0.0
3,1,-0.44203877449035645,1.0
4,0,-0.0391969233751297,0.0
4,1,-0.34401631355285645,1.0
4,2,-0.5096923112869263,2.0
5,0,-0.40905722975730896,-3.0
5,1,-0.3124600052833557,-2.0
5,2,-0.4277491271495819,-1.0
5,3,-0.4448508620262146,0.0
5,4,-0.5253405570983887,1.0
5,5,-0.4584789574146271,2.0
5,6,-0.5958130359649658,3.0
5,7,-0.6522048115730286,4.0
5,8,-0.6538959741592407,5.0
6,0,-0.1801990568637848,0.0
6,1,-0.2491288185119629,1.0
6,2,-0.570537269115448,2.0
6,3,-0.5816403031349182,3.0
7,0,-0.049535252153873444,0.0
7,1,-0.044484078884124756,1.0
8,0,-0.24671345949172974,0.0
9,0,-0.22168293595314026,-3.0
9,1,-0.20392024517059326,-2.0
9,2,-0.19798031449317932,-1.0
9,3,-0.19354437291622162,0.0
9,4,-0.18089382350444794,1.0
9,5,-0.1654110699892044,2.0
9,6,-0.16299369931221008,3.0
9,7,-0.1609504073858261,4.0
10,0,-0.21893951296806335,-1.0
10,1,-0.2114163190126419,0.0
10,2,-0.18858075141906738,1.0
10,3,-0.16470225155353546,2.0
10,4,-0.11264286935329437,3.0
10,5,-0.08918909728527069,4.0
10,6,-0.08969728648662567,5.0
10,7,-0.04935504496097565,6.0
11,0,-0.000762939453125,0.0
12,0,-0.09525540471076965,0.0
12,1,-0.09683500230312347,1.0
12,2,-0.07519936561584473,2.0
13,0,-0.05547255277633667,0.0
13,1,0.0547943115234375,1.0
13,2,-0.011548712849617004,2.0
13,3,0.001323401927947998,3.0
13,4,0.04455640912055969,4.0
13,5,0.03643807768821716,5.0
13,6,0.045541971921920776,6.0
13,7,0.0695200115442276,7.0
13,8,0.06268635392189026,8.0
14,0,-0.05563322454690933,0.0
14,1,0.09201265871524811,1.0
14,2,0.10165002942085266,2.0
15,0,0.06854739785194397,-6.0
15,1,0.11920060217380524,-5.0
15,2,0.12127353250980377,-4.0
15,3,0.12856172025203705,-3.0
15,4,0.12754131853580475,-2.0
15,5,0.13170300424098969,-1.0
15,6,0.12832294404506683,0.0
15,7,0.12822149693965912,1.0
15,8,0.13082467019557953,2.0
15,9,0.1360095888376236,3.0
15,10,0.14052926003932953,4.0
16,0,0.06419797241687775,0.0
16,1,0.1051439642906189,1.0
17,0,0.10030312836170197,0.0
17,1,0.10540623962879181,1.0
17,2,0.11167947947978973,2.0
17,3,0.12779037654399872,3.0
17,4,0.13842464983463287,4.0
17,5,0.14613278210163116,5.0
17,6,0.16112731397151947,6.0
17,7,0.16718845069408417,7.0
18,0,0.09368789196014404,0.0
18,1,0.13260024785995483,1.0
18,2,0.17872458696365356,2.0
18,3,0.17588645219802856,3.0
19,0,0.06648789346218109,0.0
19,1,0.11176064610481262,1.0
20,0,0.14767594635486603,0.0
21,0,0.1069549024105072,0.0
21,1,0.11127215623855591,1.0
21,2,0.1335209459066391,2.0
21,3,0.1410440057516098,3.0
21,4,0.14365066587924957,4.0
21,5,0.14358662068843842,5.0
21,6,0.144734188914299,6.0
22,0,-0.2307409644126892,-3.0
22,1,-0.47095194458961487,-2.0
22,2,-0.2718445360660553,-1.0
22,3,-0.10822387039661407,0.0
22,4,-0.016516707837581635,1.0
22,5,0.11635610461235046,2.0
22,6,0.10393965244293213,3.0
22,7,0.10984404385089874,4.0
22,8,0.15162929892539978,5.0
22,9,0.17992961406707764,6.0
23,0,0.27949273586273193,0.0
24,0,0.26917898654937744,0.0
24,1,0.30781877040863037,1.0
24,2,0.3020210862159729,2.0
25,0,0.29417702555656433,0.0
25,1,0.291672021150589,1.0
25,2,0.328799307346344,2.0
25,3,0.33024683594703674,3.0
25,4,0.33054324984550476,4.0
26,0,-0.6566752195358276,-2.0
26,1,-0.5100032091140747,-1.0
26,2,-0.04318290948867798,0.0
26,3,-0.11844383180141449,1.0
26,4,0.05393359065055847,2.0
26,5,0.020587608218193054,3.0
26,6,0.18616902828216553,4.0
26,7,0.2426145076751709,5.0
26,8,0.3156946301460266,6.0
26,9,0.3307713270187378,7.0
26,10,0.3395170569419861,8.0
26,11,0.3500531315803528,9.0
27,0,-0.6519653797149658,0.0
27,1,0.17937526106834412,1.0
27,2,0.32500001788139343,2.0
27,3,0.34579405188560486,3.0
28,0,-0.5205674767494202,-1.0
28,1,0.07378710806369781,0.0
28,2,0.03805987536907196,1.0
28,3,0.3354278802871704,2.0
28,4,0.3733867406845093,3.0
29,0,0.3658710718154907,0.0
29,1,0.39650434255599976,1.0
29,2,0.4015747308731079,2.0
30,0,0.31869345903396606,0.0
30,1,0.3769572973251343,1.0
30,2,0.3895801901817322,2.0
30,3,0.3949795961380005,3.0
30,4,0.39517271518707275,4.0
30,5,0.39309757947921753,5.0
30,6,0.393741250038147,6.0
30,7,0.3937392234802246,7.0
31,0,-0.32274502515792847,0.0
31,1,0.0440266877412796,1.0
31,2,0.45816361904144287,2.0
32,0,0.4070630669593811,-1.0
32,1,0.45611292123794556,0.0
32,2,0.46676838397979736,1.0
33,0,-0.8037976026535034,0.0
33,1,0.5294275283813477,1.0
33,2,0.5235663652420044,2.0
34,0,-0.05339600145816803,0.0
34,1,0.41099250316619873,1.0
34,2,0.475277841091156,2.0
35,0,-0.11204281449317932,1.0
35,1,0.4801299273967743,2.0
35,2,0.538103461265564,3.0
35,3,0.538132905960083,4.0
36,0,0.0628754273056984,0.0
36,1,0.505750834941864,1.0
37,0,0.6078891754150391,0.0
38,0,-0.29714706540107727,0.0
39,0,0.5536575317382812,0.0
40,0,0.5827432870864868,-1.0
40,1,0.5930870175361633,0.0
40,2,0.6456871032714844,1.0
40,3,0.6571915149688721,2.0
41,0,0.6623450517654419,0.0
42,0,0.6581017971038818,-5.0
42,1,0.7065993547439575,-4.0
42,2,0.721143364906311,-3.0
42,3,0.7234486937522888,-2.0
42,4,0.7341153621673584,-1.0
42,5,0.7255514860153198,0.0
42,6,0.7423008680343628,1.0
42,7,0.7473026514053345,2.0
43,0,0.6619568467140198,-2.0
43,1,0.7038093209266663,-1.0
43,2,0.7161266207695007,0.0
43,3,0.7594643235206604,1.0
43,4,0.7666957974433899,2.0
43,5,0.7690079808235168,3.0
43,6,0.7717214822769165,4.0
43,7,0.7717141509056091,5.0
43,8,0.7704451680183411,6.0
44,0,0.7465465068817139,0.0
45,0,0.7896859049797058,0.0
46,0,-0.9943951964378357,0.0
46,1,0.613791286945343,1.0
46,2,0.6769497990608215,2.0
46,3,0.8362341523170471,3.0
47,0,0.2741320729255676,0.0
47,1,0.8774603009223938,1.0
47,2,0.8790380954742432,2.0
48,0,0.7642288208007812,-2.0
48,1,0.8417813777923584,-1.0
48,2,0.8257062435150146,0.0
48,3,0.849730908870697,1.0
48,4,0.8893959522247314,2.0
48,5,0.9095693826675415,3.0
49,0,0.2728714942932129,0.0
50,0,0.1538112312555313,-9.0
50,1,0.5352806448936462,-8.0
50,2,0.5613040924072266,-7.0
50,3,0.7041990756988525,-6.0
50,4,0.7625023722648621,-5.0
50,5,0.7489795684814453,-4.0
50,6,0.8674823641777039,-3.0
50,7,0.8936126232147217,-2.0
50,8,0.9199424982070923,-1.0
50,9,0.9287416934967041,0.0
50,10,0.937786340713501,1.0
50,11,0.9525506496429443,2.0
50,12,0.9554522037506104,3.0
51,0,-0.9615715146064758,0.0
52,0,-0.9570164680480957,0.0
52,1,0.7855412364006042,1.0
52,2,0.8955960869789124,2.0
52,3,0.9817354679107666,3.0
53,0,-0.6438246369361877,-3.0
53,1,0.9212278723716736,-2.0
53,2,0.8947567939758301,-1.0
53,3,0.8500999212265015,0.0
53,4,0.8742784857749939,1.0
53,5,0.9385291934013367,2.0
53,6,0.974121630191803,3.0
53,7,1.0068577527999878,4.0
53,8,1.015661597251892,5.0
53,9,1.032970905303955,6.0
54,0,-0.5628907084465027,0.0
55,0,0.46802568435668945,0.0
55,1,0.9075201749801636,1.0
56,0,-0.39153656363487244,-10.0
56,1,0.6532604694366455,-9.0
56,2,0.9937400817871094,-8.0
56,3,1.0601426362991333,-7.0
56,4,1.118179202079773,-6.0
56,5,1.1347441673278809,-5.0
56,6,1.1039708852767944,-4.0
56,7,1.093105435371399,-3.0
56,8,1.1035981178283691,-2.0
56,9,1.0533206462860107,-1.0
