episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,2,3,2,2,0,1
1,2,10,9,9,0,1
2,3,16,15,15,0,1
3,2,19,18,18,0,1
4,3,7,7,6,1,1
5,2,8,7,7,0,1
6,2,11,2,2,0,1
7,2,19,7,6,1,1
8,2,3,1,1,0,1
9,2,12,1,1,0,1
10,3,19,9,6,3,1
11,2,3,2,2,0,1
12,2,4,3,3,0,1
13,3,11,10,10,0,1
14,2,2,1,1,0,1
15,3,10,3,2,1,1
16,2,14,6,5,1,1
17,3,10,17,5,12,1
18,2,6,1,1,0,1
19,2,5,4,4,0,1
20,2,14,13,13,0,1
21,3,14,3,2,1,1
22,3,2,1,1,0,1
23,3,15,24,10,14,1
24,2,16,5,5,0,1
25,2,6,5,5,0,1
26,3,15,2,2,0,1
27,3,10,13,5,8,1
28,3,14,2,2,0,1
29,2,8,7,7,0,1
30,3,2,1,1,0,1
31,2,6,5,5,0,1
32,2,10,1,1,0,1
33,2,5,2,2,0,1
34,2,6,5,5,0,1
35,2,2,1,1,0,1
36,2,7,3,3,0,1
37,2,6,5,5,0,1
38,2,5,2,2,0,1
39,2,10,9,3,6,1
40,3,19,21,18,3,1
41,3,16,9,8,1,1
42,3,15,16,14,2,1
43,3,8,7,7,0,1
44,2,18,8,4,4,1
45,3,19,17,4,13,1
46,3,9,10,5,5,1
47,2,20,8,7,1,1
48,3,10,6,4,2,1
49,2,19,2,2,0,1
50,2,7,3,3,0,1
51,3,2,1,1,0,1
52,3,4,1,1,0,1
53,2,6,1,1,0,1
54,3,4,3,3,0,1
55,3,9,2,2,0,1
56,3,17,10,2,8,1
57,3,19,40,10,30,0
58,3,15,8,7,1,1
59,3,20,5,5,0,1
60,3,2,1,1,0,1
61,3,7,1,1,0,1
62,3,20,16,8,8,1
63,2,2,1,1,0,1
64,2,11,2,2,0,1
65,2,19,2,2,0,1
66,2,15,4,2,2,1
67,3,4,3,3,0,1
68,3,18,26,5,21,1
69,2,14,1,1,0,1
70,2,2,1,1,0,1
71,3,8,8,7,1,1
72,3,19,13,3,10,1
73,2,5,2,2,0,1
74,3,8,4,4,0,1
75,2,4,1,1,0,1
76,3,13,5,4,1,1
77,2,19,10,6,4,1
78,2,17,8,8,0,1
79,3,20,28,9,19,1
80,3,12,15,11,4,1
81,2,6,1,1,0,1
82,3,2,1,1,0,1
83,2,5,4,4,0,1
84,2,2,1,1,0,1
85,2,14,2,2,0,1
86,3,6,7,5,2,1
87,2,8,7,7,0,1
88,3,5,5,4,1,1
89,3,12,8,6,2,1
90,3,19,2,2,0,1
91,3,20,26,19,7,1
92,2,2,1,1,0,1
93,2,11,6,5,1,1
94,3,19,40,18,22,0
95,3,12,4,4,0,1
96,3,10,13,9,4,1
97,2,3,1,1,0,1
98,3,13,6,6,0,1
99,3,7,1,1,0,1
100,3,13,6,6,0,1
101,2,5,2,2,0,1
102,3,5,1,1,0,1
103,3,17,12,9,3,1
104,3,11,15,5,10,1
105,2,12,11,11,0,1
106,2,6,1,1,0,1
107,2,16,7,3,4,1
108,3,3,2,2,0,1
109,2,9,4,4,0,1
110,3,18,29,10,19,1
111,2,4,1,1,0,1
112,3,13,6,6,0,1
113,3,13,30,7,23,1
114,3,8,7,6,1,1
115,2,20,19,19,0,1
116,3,12,22,11,11,1
117,2,10,1,1,0,1
118,2,16,19,4,15,1
119,2,3,2,2,0,1
120,3,4,3,3,0,1
121,3,13,13,12,1,1
122,2,10,3,3,0,1
123,3,14,21,2,19,1
124,2,13,3,3,0,1
125,2,8,1,1,0,1
126,3,5,2,2,0,1
127,2,11,1,1,0,1
128,3,4,3,3,0,1
129,3,5,4,4,0,1
130,2,2,1,1,0,1
131,2,19,4,4,0,1
132,3,9,4,4,0,1
133,2,11,2,2,0,1
134,2,11,5,5,0,1
135,2,15,14,14,0,1
136,3,10,24,6,18,1
137,2,10,1,1,0,1
138,2,9,8,8,0,1
139,2,2,1,1,0,1
140,3,2,1,1,0,1
141,2,17,6,6,0,1
142,2,8,7,7,0,1
143,3,8,3,2,1,1
144,3,4,3,3,0,1
145,3,19,16,9,7,1
146,2,8,3,3,0,1
147,3,4,3,3,0,1
148,2,6,5,5,0,1
149,3,2,1,1,0,1
150,2,10,3,3,0,1
151,3,4,3,3,0,1
152,3,7,2,2,0,1
153,3,6,4,4,0,1
154,2,3,1,1,0,1
155,2,15,8,7,1,1
156,2,7,3,2,1,1
157,2,6,5,5,0,1
158,3,15,39,14,25,1
159,2,10,3,3,0,1
160,2,19,7,6,1,1
161,2,4,1,1,0,1
162,3,6,1,1,0,1
163,3,3,1,1,0,1
164,2,12,4,3,1,1
165,2,20,7,7,0,1
166,2,2,1,1,0,1
167,2,5,4,4,0,1
168,2,11,1,1,0,1
169,2,9,1,1,0,1
170,2,12,1,1,0,1
171,2,13,5,4,1,1
172,3,12,2,2,0,1
173,3,5,4,4,0,1
174,3,18,34,9,25,1
175,2,5,1,1,0,1
176,3,3,2,2,0,1
177,3,18,40,7,33,0
178,3,3,1,1,0,1
179,2,19,3,3,0,1
180,3,12,7,7,0,1
181,2,17,2,2,0,1
182,2,7,1,1,0,1
183,2,13,9,3,6,1
184,2,14,3,2,1,1
185,2,9,4,4,0,1
186,2,12,1,1,0,1
187,3,8,5,4,1,1
188,2,17,2,2,0,1
189,2,19,10,9,1,1
190,2,18,4,4,0,1
191,3,11,13,8,5,1
192,2,5,4,4,0,1
193,2,11,4,4,0,1
194,2,2,1,1,0,1
195,3,20,32,8,24,1
196,2,14,1,1,0,1
197,2,20,19,19,0,1
198,3,7,3,3,0,1
199,3,3,2,2,0,1
200,2,4,3,3,0,1
201,2,2,1,1,0,1
202,2,4,1,1,0,1
203,3,18,5,5,0,1
204,2,6,5,5,0,1
205,3,20,23,19,4,1
206,3,2,1,1,0,1
207,3,4,2,2,0,1
208,3,17,16,16,0,1
209,3,18,23,17,6,1
210,3,15,25,7,18,1
211,2,5,1,1,0,1
212,3,9,4,4,0,1
213,2,17,2,2,0,1
214,3,6,7,5,2,1
215,2,14,3,2,1,1
216,3,10,5,5,0,1
217,2,3,2,2,0,1
218,2,19,2,2,0,1
219,2,9,4,4,0,1
220,2,16,5,5,0,1
221,3,8,5,5,0,1
222,2,9,2,2,0,1
223,2,5,4,4,0,1
224,3,15,6,5,1,1
225,3,15,7,7,0,1
226,3,19,1,1,0,1
227,3,20,30,19,11,1
228,2,14,5,5,0,1
229,3,4,3,3,0,1
230,2,20,7,5,2,1
231,3,4,1,1,0,1
232,3,11,2,2,0,1
233,2,14,1,1,0,1
234,2,10,9,9,0,1
235,3,12,7,2,5,1
236,2,13,3,3,0,1
237,3,2,1,1,0,1
238,2,20,6,3,3,1
239,2,3,1,1,0,1
240,2,7,1,1,0,1
241,3,13,5,5,0,1
242,3,18,10,9,1,1
243,3,15,4,3,1,1
244,2,5,2,2,0,1
245,3,19,28,18,10,1
246,2,16,3,3,0,1
247,2,13,3,3,0,1
248,3,13,22,6,16,1
249,2,8,3,2,1,1
250,2,20,1,1,0,1
251,2,9,4,4,0,1
252,3,17,16,16,0,1
253,3,8,7,7,0,1
254,3,17,6,4,2,1
255,2,4,3,3,0,1
256,3,20,37,14,23,1
257,2,2,1,1,0,1
258,3,7,4,3,1,1
259,3,4,3,3,0,1
260,2,15,1,1,0,1
261,3,15,39,9,30,1
262,3,17,26,3,23,1
263,2,9,2,2,0,1
264,3,18,40,11,29,0
265,3,9,1,1,0,1
266,2,11,2,2,0,1
267,3,11,5,5,0,1
268,3,15,1,1,0,1
269,3,3,2,2,0,1
270,2,6,1,1,0,1
271,2,11,8,2,6,1
272,2,10,1,1,0,1
273,3,2,1,1,0,1
274,2,19,9,9,0,1
275,3,9,13,8,5,1
276,3,9,4,4,0,1
277,3,7,4,4,0,1
278,3,2,1,1,0,1
279,2,15,2,2,0,1
280,2,20,17,5,12,1
281,2,15,1,1,0,1
282,2,16,3,3,0,1
283,3,4,3,3,0,1
284,2,7,1,1,0,1
285,2,13,3,3,0,1
286,2,6,5,5,0,1
287,2,16,1,1,0,1
288,2,12,1,1,0,1
289,3,7,7,6,1,1
290,3,6,3,3,0,1
291,2,20,8,7,1,1
292,3,15,21,8,13,1
293,3,6,5,5,0,1
294,2,16,5,3,2,1
295,2,10,3,3,0,1
296,3,19,10,6,4,1
297,2,20,12,2,10,1
298,2,12,1,1,0,1
299,2,17,9,8,1,1
300,3,2,1,1,0,1
301,2,17,1,1,0,1
302,2,15,7,7,0,1
303,2,14,2,2,0,1
304,2,19,9,3,6,1
305,3,11,13,10,3,1
306,2,14,13,13,0,1
307,2,14,13,13,0,1
308,2,12,11,11,0,1
309,3,17,3,3,0,1
310,2,5,4,4,0,1
311,2,4,3,3,0,1
312,3,7,3,2,1,1
313,2,11,6,4,2,1
314,3,7,2,2,0,1
315,3,4,2,2,0,1
316,2,10,7,3,4,1
317,2,9,1,1,0,1
318,3,13,3,3,0,1
319,2,2,1,1,0,1
320,2,16,7,3,4,1
321,3,9,8,4,4,1
322,3,3,1,1,0,1
323,3,4,3,3,0,1
324,3,9,4,4,0,1
325,2,18,1,1,0,1
326,2,12,1,1,0,1
327,2,3,2,2,0,1
328,2,20,19,19,0,1
329,3,8,3,2,1,1
330,3,7,3,3,0,1
331,3,5,2,2,0,1
332,3,9,8,8,0,1
333,3,7,3,3,0,1
334,3,13,2,2,0,1
335,2,14,13,13,0,1
336,2,8,7,7,0,1
337,3,4,3,3,0,1
338,2,16,7,3,4,1
339,3,19,15,14,1,1
340,3,3,2,2,0,1
341,3,5,2,2,0,1
342,2,4,3,3,0,1
343,3,6,1,1,0,1
344,3,12,24,11,13,1
345,3,5,1,1,0,1
346,3,18,6,6,0,1
347,3,3,1,1,0,1
348,2,12,6,3,3,1
349,3,18,3,3,0,1
350,2,17,22,2,20,1
351,3,14,13,7,6,1
352,2,14,5,5,0,1
353,2,7,2,2,0,1
354,2,16,15,15,0,1
355,3,3,2,2,0,1
356,3,5,6,4,2,1
357,3,14,20,13,7,1
358,3,17,3,3,0,1
359,2,2,1,1,0,1
360,2,10,1,1,0,1
361,2,10,3,3,0,1
362,3,16,17,15,2,1
363,3,16,5,5,0,1
364,3,12,4,4,0,1
365,2,18,3,3,0,1
366,2,17,6,2,4,1
367,3,15,2,2,0,1
368,2,17,4,3,1,1
369,3,6,3,3,0,1
370,3,20,19,4,15,1
371,3,13,4,4,0,1
372,2,3,1,1,0,1
373,2,15,7,7,0,1
374,3,7,7,6,1,1
375,3,19,20,6,14,1
376,2,4,1,1,0,1
377,2,8,1,1,0,1
378,2,19,9,6,3,1
379,3,3,1,1,0,1
380,2,17,5,4,1,1
381,3,11,3,2,1,1
382,2,10,3,3,0,1
383,3,6,2,2,0,1
384,3,5,6,4,2,1
385,3,9,5,4,1,1
386,2,12,3,3,0,1
387,2,2,1,1,0,1
388,2,7,2,2,0,1
389,3,14,16,2,14,1
390,2,16,1,1,0,1
391,2,4,1,1,0,1
392,3,17,17,16,1,1
393,2,12,11,11,0,1
394,3,4,3,3,0,1
395,3,19,40,12,28,0
396,3,14,7,6,1,1
397,3,12,4,4,0,1
398,2,12,11,11,0,1
399,3,3,2,2,0,1
400,3,5,4,4,0,1
401,3,10,4,4,0,1
402,3,8,4,4,0,1
403,2,14,2,2,0,1
404,2,19,1,1,0,1
405,2,20,7,7,0,1
406,3,3,2,2,0,1
407,3,10,6,6,0,1
408,3,12,3,3,0,1
409,2,18,1,1,0,1
410,2,16,1,1,0,1
411,3,3,2,2,0,1
412,2,19,4,4,0,1
413,2,16,3,3,0,1
414,2,11,5,5,0,1
415,3,20,40,9,31,0
416,3,7,3,3,0,1
417,3,3,1,1,0,1
418,3,11,5,5,0,1
419,2,17,4,4,0,1
420,2,20,2,2,0,1
421,3,3,2,2,0,1
422,2,18,3,3,0,1
423,2,4,3,3,0,1
424,3,18,12,11,1,1
425,3,7,4,2,2,1
426,2,9,7,4,3,1
427,3,14,13,7,6,1
428,3,2,1,1,0,1
429,2,16,3,3,0,1
430,2,4,1,1,0,1
431,2,9,2,2,0,1
432,3,6,8,5,3,1
433,2,8,7,7,0,1
434,3,17,9,8,1,1
435,2,12,1,1,0,1
436,2,9,2,2,0,1
437,2,7,3,3,0,1
438,3,10,3,3,0,1
439,3,5,1,1,0,1
440,3,14,4,4,0,1
441,3,20,15,6,9,1
442,3,13,5,3,2,1
443,3,5,4,4,0,1
444,3,16,11,10,1,1
445,3,4,2,2,0,1
446,3,20,12,8,4,1
447,2,19,4,4,0,1
448,2,9,5,2,3,1
449,3,17,40,6,34,0
450,3,16,3,3,0,1
451,2,4,3,3,0,1
452,2,12,1,1,0,1
453,2,18,4,4,0,1
454,2,9,2,2,0,1
455,2,20,4,2,2,1
456,2,8,2,2,0,1
457,3,2,1,1,0,1
458,2,17,6,3,3,1
459,2,20,8,7,1,1
460,2,6,5,5,0,1
461,2,2,1,1,0,1
462,3,2,1,1,0,1
463,3,20,29,5,24,1
464,2,10,1,1,0,1
465,2,10,9,9,0,1
466,2,9,4,4,0,1
467,3,19,9,9,0,1
468,2,7,1,1,0,1
469,3,4,3,3,0,1
470,2,16,3,3,0,1
471,2,18,4,4,0,1
472,3,2,1,1,0,1
473,3,20,19,8,11,1
474,3,18,36,10,26,1
475,2,9,10,4,6,1
476,2,10,5,3,2,1
477,3,7,8,6,2,1
478,3,20,30,13,17,1
479,3,11,3,3,0,1
480,3,6,3,3,0,1
481,3,4,3,3,0,1
482,2,4,1,1,0,1
483,2,2,1,1,0,1
484,2,8,4,3,1,1
485,2,5,4,4,0,1
486,3,14,7,2,5,1
487,2,13,2,2,0,1
488,2,11,2,2,0,1
489,3,16,11,4,7,1
490,2,10,9,9,0,1
491,2,6,1,1,0,1
492,2,8,2,2,0,1
493,3,2,1,1,0,1
494,2,14,10,5,5,1
495,3,9,12,4,8,1
496,3,3,1,1,0,1
497,3,14,12,3,9,1
498,2,13,4,4,0,1
499,3,8,5,4,1,1
500,3,6,8,4,4,1
501,3,20,30,7,23,1
502,2,2,1,1,0,1
503,2,6,5,5,0,1
504,3,5,2,2,0,1
505,3,6,6,5,1,1
506,2,9,4,4,0,1
507,2,18,4,4,0,1
508,2,8,7,7,0,1
509,3,17,37,16,21,1
510,2,7,3,2,1,1
511,3,19,26,6,20,1
512,3,10,7,7,0,1
513,3,17,5,5,0,1
514,3,11,20,6,14,1
515,3,9,4,4,0,1
516,2,13,6,6,0,1
517,2,10,9,9,0,1
518,2,18,4,4,0,1
519,3,16,9,6,3,1
520,3,11,6,5,1,1
521,2,16,1,1,0,1
522,3,20,35,4,31,1
523,2,17,8,8,0,1
524,3,19,6,2,4,1
525,3,8,4,4,0,1
526,2,18,17,17,0,1
527,2,8,1,1,0,1
528,3,16,15,15,0,1
529,2,7,1,1,0,1
530,3,20,11,11,0,1
531,3,10,5,5,0,1
532,3,10,9,9,0,1
533,3,13,20,12,8,1
534,3,4,1,1,0,1
535,3,5,4,4,0,1
536,3,8,6,6,0,1
537,3,7,6,4,2,1
538,2,12,11,11,0,1
539,2,4,3,3,0,1
540,2,16,3,3,0,1
541,2,2,1,1,0,1
542,2,6,1,1,0,1
543,2,18,1,1,0,1
544,2,10,9,9,0,1
545,3,13,40,12,28,0
546,3,2,1,1,0,1
547,3,12,2,2,0,1
548,3,14,4,4,0,1
549,2,4,1,1,0,1
550,2,13,4,4,0,1
551,3,3,2,2,0,1
552,3,14,7,7,0,1
553,2,14,2,2,0,1
554,2,8,1,1,0,1
555,2,20,2,2,0,1
556,2,4,1,1,0,1
557,3,15,7,7,0,1
558,3,8,7,7,0,1
559,2,8,3,3,0,1
560,3,5,2,2,0,1
561,2,8,2,2,0,1
562,2,5,4,4,0,1
563,3,16,7,7,0,1
564,3,8,3,3,0,1
565,2,5,2,2,0,1
566,2,19,3,3,0,1
567,3,10,6,6,0,1
568,3,15,22,5,17,1
569,2,10,3,3,0,1
570,3,15,16,10,6,1
571,3,2,1,1,0,1
572,3,8,8,7,1,1
573,2,11,2,2,0,1
574,3,6,5,5,0,1
575,3,20,26,10,16,1
576,2,11,2,2,0,1
577,2,19,9,9,0,1
578,3,2,1,1,0,1
579,3,17,31,16,15,1
580,2,10,9,9,0,1
581,3,3,1,1,0,1
582,2,13,3,3,0,1
583,3,2,1,1,0,1
584,2,19,1,1,0,1
585,2,18,4,4,0,1
586,2,10,9,9,0,1
587,2,15,2,2,0,1
588,3,10,3,3,0,1
589,2,11,5,5,0,1
590,3,10,3,3,0,1
591,2,17,4,4,0,1
592,3,5,1,1,0,1
593,2,2,1,1,0,1
594,3,15,23,14,9,1
595,3,11,12,10,2,1
596,3,13,4,4,0,1
597,3,8,10,3,7,1
598,2,20,19,19,0,1
599,2,11,4,4,0,1
600,2,20,19,19,0,1
601,3,6,6,5,1,1
602,2,5,2,2,0,1
603,3,7,6,6,0,1
604,2,15,7,2,5,1
605,2,6,5,5,0,1
606,2,5,2,2,0,1
607,3,14,12,10,2,1
608,3,10,2,2,0,1
609,2,11,6,2,4,1
610,3,9,1,1,0,1
611,2,18,17,17,0,1
612,2,8,3,3,0,1
613,3,15,19,8,11,1
614,3,4,1,1,0,1
615,2,7,3,3,0,1
616,3,15,11,5,6,1
