episode,state_idx,predicted_value,target_value
0,0,0.31860700249671936,-16.0
0,1,0.1464426964521408,-15.0
0,2,0.19836938381195068,-14.0
0,3,0.14882776141166687,-13.0
0,4,0.21646693348884583,-12.0
0,5,0.20118528604507446,-11.0
0,6,0.21236363053321838,-10.0
0,7,0.2487439066171646,-9.0
0,8,0.23464523255825043,-8.0
0,9,0.22041559219360352,-7.0
0,10,0.24410735070705414,-6.0
0,11,0.2538510262966156,-5.0
0,12,0.26968130469322205,-4.0
0,13,0.28380292654037476,-3.0
0,14,0.30114585161209106,-2.0
0,15,0.30098265409469604,-1.0
0,16,0.2986012101173401,0.0
0,17,0.29731112718582153,1.0
1,0,-0.05330326408147812,-17.0
1,1,-0.19716262817382812,-16.0
1,2,-0.1680210530757904,-15.0
1,3,-0.16686245799064636,-14.0
1,4,-0.16282209753990173,-13.0
1,5,-0.15679141879081726,-12.0
1,6,-0.16758659482002258,-11.0
1,7,-0.13817158341407776,-10.0
1,8,-0.12984123826026917,-9.0
1,9,-0.12267177551984787,-8.0
1,10,-0.15362605452537537,-7.0
1,11,-0.16350752115249634,-6.0
1,12,-0.1293506920337677,-5.0
1,13,-0.12392332404851913,-4.0
1,14,-0.11380801349878311,-3.0
1,15,-0.09913256019353867,-2.0
1,16,-0.09834165126085281,-1.0
1,17,-0.09178663045167923,0.0
1,18,-0.05505865067243576,1.0
2,0,-0.3943323791027069,0.0
2,1,-0.39724496006965637,1.0
2,2,-0.39853736758232117,2.0
2,3,-0.40092262625694275,3.0
2,4,-0.4494098722934723,4.0
2,5,-0.43837907910346985,5.0
3,0,-0.45568835735321045,-6.0
3,1,-0.42348337173461914,-5.0
3,2,-0.4234122633934021,-4.0
3,3,-0.4310108423233032,-3.0
3,4,-0.42240041494369507,-2.0
3,5,-0.41636067628860474,-1.0
3,6,-0.41729092597961426,0.0
3,7,-0.4118417501449585,1.0
3,8,-0.40734755992889404,2.0
3,9,-0.41177213191986084,3.0
3,10,-0.41371405124664307,4.0
3,11,-0.420696496963501,5.0
3,12,-0.42346125841140747,6.0
3,13,-0.4287067651748657,7.0
3,14,-0.4305904507637024,8.0
3,15,-0.43072187900543213,9.0
3,16,-0.42825067043304443,10.0
3,17,-0.4296905994415283,11.0
4,0,-0.45273005962371826,0.0
4,1,-0.4724102020263672,1.0
5,0,-0.46330904960632324,0.0
5,1,-0.5234498977661133,1.0
5,2,-0.5253632664680481,2.0
6,0,-0.5101204514503479,-13.0
6,1,-0.5330082178115845,-12.0
6,2,-0.5392739772796631,-11.0
6,3,-0.5424704551696777,-10.0
6,4,-0.5216460227966309,-9.0
6,5,-0.5219067931175232,-8.0
6,6,-0.5650650262832642,-7.0
6,7,-0.5627669095993042,-6.0
6,8,-0.5611336827278137,-5.0
6,9,-0.5615422129631042,-4.0
6,10,-0.5582921504974365,-3.0
6,11,-0.5551849603652954,-2.0
6,12,-0.5477078557014465,-1.0
6,13,-0.5685957074165344,0.0
6,14,-0.5489717125892639,1.0
6,15,-0.5468576550483704,2.0
6,16,-0.5440039038658142,3.0
6,17,-0.5393919348716736,4.0
7,0,-0.5105258226394653,0.0
8,0,-0.6093115210533142,-5.0
8,1,-0.6065711975097656,-4.0
8,2,-0.6021155714988708,-3.0
8,3,-0.5983577966690063,-2.0
8,4,-0.6012366414070129,-1.0
8,5,-0.6020598411560059,0.0
8,6,-0.6059921383857727,1.0
8,7,-0.6055392622947693,2.0
8,8,-0.6093397736549377,3.0
8,9,-0.6055023074150085,4.0
8,10,-0.60990971326828,5.0
8,11,-0.6085980534553528,6.0
9,0,-0.618604838848114,0.0
10,0,-0.6352359652519226,-3.0
10,1,-0.6924075484275818,-2.0
10,2,-0.6891526579856873,-1.0
10,3,-0.6874465346336365,0.0
10,4,-0.6928856372833252,1.0
10,5,-0.6918714642524719,2.0
10,6,-0.6901821494102478,3.0
10,7,-0.6914775371551514,4.0
10,8,-0.6908049583435059,5.0
10,9,-0.691591203212738,6.0
10,10,-0.6898834109306335,7.0
10,11,-0.6886410713195801,8.0
10,12,-0.6886574625968933,9.0
10,13,-0.6882824897766113,10.0
10,14,-0.6885486245155334,11.0
10,15,-0.6877301335334778,12.0
10,16,-0.6870954632759094,13.0
10,17,-0.688296377658844,14.0
10,18,-0.6876041889190674,15.0
10,19,-0.6880713105201721,16.0
11,0,-0.6954808235168457,-16.0
11,1,-0.6944810152053833,-15.0
11,2,-0.6967286467552185,-14.0
11,3,-0.6962403655052185,-13.0
11,4,-0.6959315538406372,-12.0
11,5,-0.6956882476806641,-11.0
11,6,-0.695212721824646,-10.0
11,7,-0.6951148509979248,-9.0
11,8,-0.6951165795326233,-8.0
11,9,-0.6925162672996521,-7.0
11,10,-0.6927856206893921,-6.0
11,11,-0.6934427618980408,-5.0
11,12,-0.6938996911048889,-4.0
11,13,-0.6939172744750977,-3.0
11,14,-0.6939204931259155,-2.0
11,15,-0.6935613751411438,-1.0
11,16,-0.6935250163078308,0.0
11,17,-0.6935452222824097,1.0
11,18,-0.693988025188446,2.0
11,19,-0.6943193674087524,3.0
12,0,-0.6410201191902161,-1.0
12,1,-0.5608900189399719,0.0
12,2,-0.5956699252128601,1.0
12,3,-0.625686526298523,2.0
12,4,-0.6326839327812195,3.0
12,5,-0.6712259650230408,4.0
12,6,-0.6932679414749146,5.0
12,7,-0.690531849861145,6.0
12,8,-0.696388304233551,7.0
12,9,-0.6813866496086121,8.0
12,10,-0.6805621981620789,9.0
12,11,-0.6834476590156555,10.0
12,12,-0.682515561580658,11.0
12,13,-0.6739305257797241,12.0
12,14,-0.6641409397125244,13.0
12,15,-0.6577247381210327,14.0
12,16,-0.620608925819397,15.0
12,17,-0.5872278809547424,16.0
12,18,-0.5282509922981262,17.0
12,19,-0.5451482534408569,18.0
13,0,-0.5442631840705872,-2.0
13,1,-0.5129453539848328,-1.0
13,2,-0.34324467182159424,0.0
13,3,-0.43095827102661133,1.0
13,4,-0.21706749498844147,2.0
13,5,0.04708041250705719,3.0
13,6,0.003989167511463165,4.0
13,7,0.20421266555786133,5.0
13,8,0.3240329325199127,6.0
13,9,0.3901498317718506,7.0
13,10,0.3532290458679199,8.0
13,11,0.3715929388999939,9.0
13,12,0.35296350717544556,10.0
13,13,0.36490458250045776,11.0
13,14,0.3999188542366028,12.0
13,15,0.4244677424430847,13.0
13,16,0.4426620602607727,14.0
14,0,-0.7255296111106873,-9.0
14,1,-0.018691152334213257,-8.0
14,2,-0.11662676930427551,-7.0
14,3,-0.16663753986358643,-6.0
14,4,-0.11715075373649597,-5.0
14,5,0.010945618152618408,-4.0
14,6,0.0313090980052948,-3.0
14,7,0.08075316250324249,-2.0
14,8,0.22626008093357086,-1.0
14,9,0.33686089515686035,0.0
14,10,0.39948374032974243,1.0
14,11,0.4480571746826172,2.0
15,0,0.5148867964744568,0.0
16,0,-0.7720489501953125,0.0
16,1,-0.772290825843811,1.0
16,2,-0.7716274261474609,2.0
16,3,-0.7362945079803467,3.0
16,4,-0.6944686770439148,4.0
16,5,-0.6528148651123047,5.0
16,6,-0.615394115447998,6.0
16,7,-0.5758931636810303,7.0
16,8,-0.6091971397399902,8.0
16,9,-0.49320900440216064,9.0
16,10,-0.4730401039123535,10.0
16,11,-0.3855952024459839,11.0
16,12,-0.32284390926361084,12.0
17,0,-0.7653068900108337,-13.0
17,1,-0.7340814471244812,-12.0
17,2,-0.7155614495277405,-11.0
17,3,-0.7110615372657776,-10.0
17,4,-0.6558844447135925,-9.0
17,5,-0.5076212882995605,-8.0
17,6,-0.5386377573013306,-7.0
17,7,-0.5672023296356201,-6.0
17,8,-0.5914552807807922,-5.0
17,9,-0.6764240264892578,-4.0
17,10,-0.6780574917793274,-3.0
17,11,-0.5483129024505615,-2.0
17,12,-0.33649927377700806,-1.0
17,13,-0.0722108781337738,0.0
17,14,0.16679522395133972,1.0
17,15,0.11584290862083435,2.0
17,16,0.1793753206729889,3.0
17,17,0.25083065032958984,4.0
17,18,0.3486905097961426,5.0
17,19,0.3484004735946655,6.0
18,0,-0.8129892349243164,-9.0
18,1,-0.6605702638626099,-8.0
18,2,-0.7718691825866699,-7.0
18,3,-0.7859890460968018,-6.0
18,4,-0.7846148014068604,-5.0
18,5,-0.7916128635406494,-4.0
18,6,-0.7957757711410522,-3.0
18,7,-0.7715312242507935,-2.0
18,8,-0.7719295024871826,-1.0
18,9,-0.6886553764343262,0.0
18,10,-0.3216503858566284,1.0
18,11,0.457851380109787,2.0
18,12,0.7347297668457031,3.0
18,13,0.7608602046966553,4.0
19,0,-0.7903969883918762,6.0
19,1,-0.7575339674949646,7.0
19,2,-0.7493829727172852,8.0
19,3,-0.7448137402534485,9.0
19,4,-0.7401483654975891,10.0
19,5,-0.7372545003890991,11.0
19,6,-0.73532634973526,12.0
19,7,-0.7681438326835632,13.0
19,8,-0.7624415755271912,14.0
19,9,-0.7564371228218079,15.0
19,10,-0.7557637095451355,16.0
19,11,-0.7523236274719238,17.0
19,12,-0.7552934288978577,18.0
19,13,-0.763175904750824,19.0
19,14,-0.7695209383964539,20.0
19,15,-0.7771121859550476,21.0
19,16,-0.7775581479072571,22.0
19,17,-0.777816891670227,23.0
19,18,-0.7783364057540894,24.0
19,19,-0.7921248078346252,25.0
20,0,-0.7516757845878601,-6.0
20,1,-0.6024536490440369,-5.0
20,2,-0.7318798899650574,-4.0
20,3,-0.7679210305213928,-3.0
20,4,-0.7832997441291809,-2.0
20,5,-0.776862382888794,-1.0
20,6,-0.7943482398986816,0.0
20,7,-0.7942854166030884,1.0
20,8,-0.7888250946998596,2.0
20,9,-0.7882974147796631,3.0
20,10,-0.785634458065033,4.0
20,11,-0.7995066046714783,5.0
20,12,-0.8110587000846863,6.0
20,13,-0.7776746153831482,7.0
20,14,-0.605865478515625,8.0
20,15,-0.46392786502838135,9.0
20,16,-0.05263008177280426,10.0
20,17,0.34968918561935425,11.0
20,18,0.4519287347793579,12.0
20,19,0.45450031757354736,13.0
21,0,-0.8474692106246948,-11.0
21,1,-0.8668752312660217,-10.0
21,2,-0.8636476397514343,-9.0
21,3,-0.8614166975021362,-8.0
21,4,-0.8596511483192444,-7.0
21,5,-0.8587361574172974,-6.0
21,6,-0.8576589822769165,-5.0
21,7,-0.8568720817565918,-4.0
21,8,-0.8562439680099487,-3.0
21,9,-0.8519389033317566,-2.0
21,10,-0.8521838784217834,-1.0
21,11,-0.850504994392395,0.0
21,12,-0.851787269115448,1.0
21,13,-0.8518204689025879,2.0
21,14,-0.8523401021957397,3.0
21,15,-0.8523165583610535,4.0
21,16,-0.8529592752456665,5.0
21,17,-0.8524470925331116,6.0
21,18,-0.8518785834312439,7.0
21,19,-0.8520362973213196,8.0
22,0,-0.8671316504478455,-9.0
22,1,-0.3369606137275696,-8.0
22,2,-0.15552057325839996,-7.0
22,3,-0.16916771233081818,-6.0
22,4,-0.20858143270015717,-5.0
22,5,-0.272732675075531,-4.0
22,6,-0.4073626399040222,-3.0
22,7,-0.4149831533432007,-2.0
22,8,-0.417518675327301,-1.0
22,9,-0.3896901607513428,0.0
22,10,-0.41282081604003906,1.0
22,11,-0.4216538667678833,2.0
22,12,-0.3756462335586548,3.0
22,13,-0.18440602719783783,4.0
22,14,-0.21154983341693878,5.0
22,15,-0.31986528635025024,6.0
22,16,-0.33649176359176636,7.0
22,17,-0.34431666135787964,8.0
22,18,-0.29949355125427246,9.0
22,19,-0.2944985628128052,10.0
23,0,-0.7529680728912354,-4.0
23,1,-0.7676204442977905,-3.0
23,2,-0.7431968450546265,-2.0
23,3,-0.7674021124839783,-1.0
23,4,-0.6692706346511841,0.0
23,5,0.9074069857597351,1.0
23,6,0.9152496457099915,2.0
24,0,-0.823573112487793,0.0
24,1,-0.83913254737854,1.0
24,2,-0.5145273804664612,2.0
25,0,-0.5358785390853882,0.0
26,0,-0.9166362285614014,0.0
26,1,0.4542209506034851,1.0
26,2,0.030583456158638,2.0
26,3,0.9848061800003052,3.0
27,0,-0.9447980523109436,-6.0
27,1,-0.9452440142631531,-5.0
27,2,-0.9447330832481384,-4.0
27,3,-0.9186587929725647,-3.0
27,4,-0.9275851845741272,-2.0
27,5,-0.9284277558326721,-1.0
27,6,-0.8990568518638611,0.0
27,7,-0.7660351395606995,1.0
27,8,0.4828413128852844,2.0
28,0,0.35166996717453003,6.0
28,1,0.9290005564689636,7.0
28,2,1.0568852424621582,8.0
28,3,1.0582188367843628,9.0
28,4,1.050829529762268,10.0
28,5,1.0586135387420654,11.0
28,6,1.0546306371688843,12.0
28,7,1.0536277294158936,13.0
28,8,1.0608184337615967,14.0
28,9,1.0597888231277466,15.0
28,10,1.0608171224594116,16.0
28,11,1.0612945556640625,17.0
28,12,1.0616686344146729,18.0
28,13,1.0617015361785889,19.0
28,14,1.0616552829742432,20.0
28,15,1.0617499351501465,21.0
28,16,1.061480164527893,22.0
28,17,1.0613244771957397,23.0
28,18,1.061209797859192,24.0
28,19,1.0620616674423218,25.0
29,0,-0.5227388739585876,-15.0
29,1,0.04988183081150055,-14.0
29,2,0.2662105858325958,-13.0
29,3,0.2683717906475067,-12.0
29,4,0.2655293941497803,-11.0
29,5,0.3221609592437744,-10.0
29,6,0.41324344277381897,-9.0
29,7,0.47234436869621277,-8.0
29,8,0.4542873501777649,-7.0
29,9,0.4457743465900421,-6.0
29,10,0.506880521774292,-5.0
29,11,0.45945408940315247,-4.0
29,12,0.5346709489822388,-3.0
29,13,0.5516977906227112,-2.0
29,14,0.6592827439308167,-1.0
29,15,0.6221924424171448,0.0
29,16,0.718743085861206,1.0
29,17,0.7411138415336609,2.0
29,18,0.7387440204620361,3.0
29,19,0.7187561392784119,4.0
30,0,-0.9905843138694763,-17.0
30,1,-0.99404376745224,-16.0
30,2,-0.9945804476737976,-15.0
30,3,-0.9944037795066833,-14.0
30,4,-0.9926679730415344,-13.0
30,5,-0.988753616809845,-12.0
30,6,-0.9903494715690613,-11.0
30,7,-0.9912571310997009,-10.0
30,8,-0.9908050894737244,-9.0
30,9,-0.9953209757804871,-8.0
30,10,-0.9941477179527283,-7.0
30,11,-0.9934907555580139,-6.0
30,12,-0.9914376139640808,-5.0
30,13,-0.9941089749336243,-4.0
30,14,-0.9953771233558655,-3.0
30,15,-0.9943824410438538,-2.0
30,16,-0.9940566420555115,-1.0
30,17,-0.9945688843727112,0.0
30,18,-0.9944958090782166,1.0
30,19,-0.9935007691383362,2.0
31,0,1.1330252885818481,-8.0
31,1,1.1739782094955444,-7.0
31,2,1.1735835075378418,-6.0
31,3,1.1718649864196777,-5.0
31,4,1.150844931602478,-4.0
31,5,1.1528289318084717,-3.0
31,6,1.1575080156326294,-2.0
31,7,1.1615103483200073,-1.0
31,8,1.163248062133789,0.0
31,9,1.1589447259902954,1.0
31,10,1.156805157661438,2.0
31,11,1.155666708946228,3.0
