episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,4,8,9,7,2,1
1,3,5,1,1,0,1
2,4,6,4,3,1,1
3,4,4,3,3,0,1
4,2,12,11,3,8,1
5,2,10,1,1,0,1
6,4,15,38,19,19,1
7,2,18,17,17,0,1
8,4,10,9,9,0,1
9,2,13,1,1,0,1
10,2,2,1,1,0,1
11,3,17,16,5,11,1
12,2,16,7,4,3,1
13,4,2,1,1,0,1
14,3,16,27,9,18,1
15,3,6,6,3,3,1
16,2,20,3,3,0,1
17,3,19,37,4,33,1
18,2,18,17,17,0,1
19,2,12,11,11,0,1
20,4,9,11,8,3,1
21,4,12,3,3,0,1
22,4,8,3,3,0,1
23,2,4,1,1,0,1
24,2,18,17,17,0,1
25,3,4,3,3,0,1
26,2,18,13,4,9,1
27,4,18,40,17,23,0
28,2,9,2,2,0,1
29,4,19,14,10,4,1
