episode,state_idx,predicted_value,target_value
0,0,0.08863472938537598,-31.0
0,1,0.24541960656642914,-31.0
0,2,0.2250567227602005,-31.0
0,3,0.18840964138507843,-31.0
0,4,0.18450039625167847,-31.0
0,5,0.1811644434928894,-31.0
0,6,0.1799563765525818,-31.0
0,7,0.17226064205169678,-31.0
0,8,0.15663209557533264,-31.0
0,9,0.16692081093788147,-31.0
0,10,0.15926365554332733,-31.0
0,11,0.15122587978839874,-31.0
0,12,0.13215580582618713,-31.0
0,13,0.13737069070339203,-31.0
0,14,0.14008769392967224,-31.0
0,15,0.1310434192419052,-31.0
0,16,0.1349526345729828,-31.0
0,17,0.12790732085704803,-31.0
0,18,0.126718670129776,-31.0
0,19,0.12834160029888153,-31.0
0,20,0.13335902988910675,-31.0
0,21,0.1311260163784027,-31.0
0,22,0.13702987134456635,-31.0
0,23,0.14225810766220093,-31.0
0,24,0.13647213578224182,-31.0
0,25,0.13928528130054474,-31.0
0,26,0.14659765362739563,-31.0
0,27,0.1537872850894928,-31.0
0,28,0.15825629234313965,-31.0
0,29,0.15612775087356567,-31.0
0,30,0.1560225784778595,-31.0
0,31,0.15587443113327026,-31.0
0,32,0.15912409126758575,-31.0
0,33,0.15897968411445618,-31.0
0,34,0.1607360988855362,-31.0
1,0,0.07049044966697693,-17.0
1,1,0.0575137659907341,-17.0
1,2,0.012565620243549347,-17.0
1,3,0.024348430335521698,-17.0
1,4,-0.04108942300081253,-17.0
1,5,-0.054994143545627594,-17.0
1,6,-0.03573133796453476,-17.0
1,7,-0.05833610147237778,-17.0
1,8,-0.10073288530111313,-17.0
1,9,-0.105010487139225,-17.0
1,10,-0.11912240833044052,-17.0
1,11,-0.1391836702823639,-17.0
1,12,-0.14690735936164856,-17.0
1,13,-0.15537092089653015,-17.0
1,14,-0.15831789374351501,-17.0
1,15,-0.16127756237983704,-17.0
1,16,-0.16658946871757507,-17.0
1,17,-0.1660546064376831,-17.0
1,18,-0.16987469792366028,-17.0
1,19,-0.17234301567077637,-17.0
1,20,-0.17307451367378235,-17.0
1,21,-0.17542031407356262,-17.0
2,0,-0.48373621702194214,-10.0
2,1,-0.5291939377784729,-10.0
2,2,-0.5309488773345947,-10.0
2,3,-0.5264872312545776,-10.0
2,4,-0.5085743069648743,-10.0
2,5,-0.5017183423042297,-10.0
2,6,-0.5073309540748596,-10.0
2,7,-0.5223330855369568,-10.0
2,8,-0.514797568321228,-10.0
2,9,-0.5148689150810242,-10.0
2,10,-0.5107632279396057,-10.0
2,11,-0.5071640610694885,-10.0
2,12,-0.5012025237083435,-10.0
2,13,-0.4987717866897583,-10.0
2,14,-0.49210864305496216,-10.0
3,0,-0.5482219457626343,-5.0
3,1,-0.5557299852371216,-5.0
3,2,-0.5556321144104004,-5.0
3,3,-0.5571506023406982,-5.0
3,4,-0.5569348335266113,-5.0
3,5,-0.5577504634857178,-5.0
3,6,-0.5594176054000854,-5.0
3,7,-0.5602378845214844,-5.0
3,8,-0.5601845979690552,-5.0
3,9,-0.5599652528762817,-5.0
3,10,-0.5595744848251343,-5.0
3,11,-0.5593982934951782,-5.0
4,0,-0.5810771584510803,0.0
4,1,-0.5713800191879272,0.0
4,2,-0.575191855430603,0.0
4,3,-0.5769739151000977,0.0
4,4,-0.5798161625862122,0.0
4,5,-0.5827363133430481,0.0
5,0,-0.5678039193153381,0.0
6,0,-0.6056475639343262,0.0
6,1,-0.6071816086769104,0.0
7,0,-0.642504096031189,0.0
7,1,-0.6501597762107849,0.0
8,0,-0.6793468594551086,-21.0
8,1,-0.6806572079658508,-21.0
8,2,-0.6804047226905823,-21.0
8,3,-0.6821683049201965,-21.0
8,4,-0.6833358407020569,-21.0
8,5,-0.6842901110649109,-21.0
8,6,-0.6853185296058655,-21.0
8,7,-0.6850401163101196,-21.0
8,8,-0.685066282749176,-21.0
8,9,-0.6852954626083374,-21.0
8,10,-0.6855613589286804,-21.0
8,11,-0.6853953003883362,-21.0
8,12,-0.6852554678916931,-21.0
8,13,-0.6856452226638794,-21.0
8,14,-0.6855838298797607,-21.0
8,15,-0.6857550740242004,-21.0
8,16,-0.68582683801651,-21.0
8,17,-0.685798168182373,-21.0
8,18,-0.6859789490699768,-21.0
8,19,-0.6859369277954102,-21.0
8,20,-0.6860517263412476,-21.0
8,21,-0.6861018538475037,-21.0
8,22,-0.6861554980278015,-21.0
8,23,-0.6861767172813416,-21.0
8,24,-0.6861467957496643,-21.0
8,25,-0.6860141158103943,-21.0
8,26,-0.6858559250831604,-21.0
8,27,-0.6857173442840576,-21.0
9,0,-0.7100959420204163,0.0
10,0,-0.7399837970733643,0.0
11,0,-0.7667915225028992,0.0
11,1,-0.7572125792503357,0.0
11,2,-0.7617437839508057,0.0
11,3,-0.7574780583381653,0.0
11,4,-0.7609394192695618,0.0
11,5,-0.7610631585121155,0.0
11,6,-0.7630121111869812,0.0
11,7,-0.7640518546104431,0.0
11,8,-0.764397144317627,0.0
11,9,-0.7647067308425903,0.0
11,10,-0.7628406286239624,0.0
11,11,-0.7635969519615173,0.0
11,12,-0.7617347836494446,0.0
11,13,-0.7620133757591248,0.0
11,14,-0.7626760601997375,0.0
11,15,-0.7628387808799744,0.0
11,16,-0.7630287408828735,0.0
11,17,-0.7632007002830505,0.0
11,18,-0.7640517950057983,0.0
11,19,-0.7639237642288208,0.0
11,20,-0.7636662721633911,0.0
11,21,-0.7639821767807007,0.0
11,22,-0.7627478241920471,0.0
11,23,-0.7630600333213806,0.0
11,24,-0.7631728649139404,0.0
11,25,-0.7629271745681763,0.0
11,26,-0.7631809115409851,0.0
11,27,-0.7632317543029785,0.0
11,28,-0.7636942267417908,0.0
11,29,-0.7638728022575378,0.0
11,30,-0.7636235952377319,0.0
11,31,-0.7639582753181458,0.0
11,32,-0.7642930746078491,0.0
11,33,-0.764549195766449,0.0
11,34,-0.7646759748458862,0.0
11,35,-0.7648975253105164,0.0
11,36,-0.7651015520095825,0.0
11,37,-0.7651992440223694,0.0
11,38,-0.7652872204780579,0.0
11,39,-0.7653156518936157,0.0
11,40,-0.7652086615562439,0.0
11,41,-0.764697253704071,0.0
11,42,-0.7647017240524292,0.0
11,43,-0.7646979093551636,0.0
11,44,-0.7646819353103638,0.0
12,0,-0.7935224771499634,0.0
12,1,-0.7858614325523376,0.0
12,2,-0.7935785055160522,0.0
13,0,-0.8205408453941345,0.0
13,1,-0.8222887516021729,0.0
13,2,-0.8223356008529663,0.0
13,3,-0.8227308392524719,0.0
13,4,-0.8226296901702881,0.0
13,5,-0.822514533996582,0.0
13,6,-0.8223912119865417,0.0
13,7,-0.822277843952179,0.0
14,0,-0.838313639163971,0.0
14,1,-0.8394575715065002,0.0
14,2,-0.8386468291282654,0.0
15,0,-0.8804787993431091,-1.0
15,1,-0.8806974291801453,-1.0
15,2,-0.8799726366996765,-1.0
16,0,-0.9099486470222473,-50.0
16,1,-0.9006037712097168,-50.0
